-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2012 through 01/01/2018 in LST
Location: Latitude  4.7959   Longitude -75.6817 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2138.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M            MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS2M,WD2M
2012,1,5,1,14.18,99.03,15.17,0.32,257.3
2012,1,5,2,13.95,99.49,13.34,0.21,259.2
2012,1,5,3,13.78,99.59,11.84,0.15,258.7
2012,1,5,4,13.58,99.57,9.14,0.13,251.6
2012,1,5,5,13.3,99.58,7.83,0.09,238.0
2012,1,5,6,13.2,99.31,7.49,0.11,221.2
2012,1,5,7,13.89,98.27,10.02,0.13,218.7
2012,1,5,8,14.73,95.97,10.88,0.18,227.3
2012,1,5,9,15.96,88.62,13.59,0.29,236.3
2012,1,5,10,17.69,76.59,19.27,0.42,244.7
2012,1,5,11,18.85,70.0,30.18,0.55,251.9
2012,1,5,12,19.47,67.6,36.04,0.66,258.7
2012,1,5,13,19.31,69.47,41.49,0.73,264.5
2012,1,5,14,18.6,74.72,35.96,0.75,267.7
2012,1,5,15,17.69,81.5,34.5,0.71,267.6
2012,1,5,16,16.7,89.87,32.65,0.63,263.7
2012,1,5,17,15.97,96.38,28.83,0.46,258.7
2012,1,5,18,15.57,98.58,27.16,0.35,253.6
2012,1,5,19,15.38,98.84,23.72,0.4,257.0
2012,1,5,20,15.19,98.82,22.4,0.44,258.2
2012,1,5,21,14.9,98.81,23.67,0.44,255.7
2012,1,5,22,14.49,98.75,25.54,0.39,250.6
2012,1,5,23,13.96,98.91,27.69,0.31,247.5
2012,1,6,0,13.48,99.2,32.78,0.24,245.6
2012,1,6,1,13.23,99.29,38.48,0.21,253.3
2012,1,6,2,13.09,99.23,44.31,0.21,253.3
2012,1,6,3,12.9,99.28,47.67,0.2,252.5
2012,1,6,4,12.72,98.71,46.04,0.22,239.9
2012,1,6,5,12.6,97.84,38.96,0.26,234.5
2012,1,6,6,12.52,97.58,23.11,0.23,246.8
2012,1,6,7,12.98,97.79,1.46,0.15,233.1
2012,1,6,8,14.02,94.19,0.39,0.19,222.9
2012,1,6,9,16.47,78.06,0.19,0.25,241.4
2012,1,6,10,19.04,62.48,0.6,0.32,257.3
2012,1,6,11,20.23,58.39,1.32,0.39,261.3
2012,1,6,12,20.81,57.59,1.73,0.45,262.4
2012,1,6,13,20.59,59.69,2.11,0.46,263.8
2012,1,6,14,20.04,63.57,2.55,0.44,264.8
2012,1,6,15,19.18,69.34,2.37,0.39,265.6
2012,1,6,16,18.2,77.27,2.79,0.37,268.5
2012,1,6,17,17.02,87.99,2.78,0.3,270.0
2012,1,6,18,16.24,94.56,2.76,0.2,264.3
2012,1,6,19,16.01,93.85,2.85,0.16,255.1
2012,1,6,20,15.79,94.26,2.17,0.11,248.2
2012,1,6,21,15.59,94.85,1.64,0.09,257.5
2012,1,6,22,15.39,95.19,1.19,0.12,265.2
2012,1,6,23,15.12,95.86,0.75,0.21,267.3
2012,1,7,0,14.69,97.05,0.61,0.39,264.1
2012,1,7,1,14.22,98.27,0.82,0.47,260.1
2012,1,7,2,13.85,99.19,0.92,0.43,257.9
2012,1,7,3,13.57,99.81,0.9,0.32,261.1
2012,1,7,4,13.45,100.0,0.7,0.21,259.2
2012,1,7,5,13.44,99.78,0.64,0.16,256.0
2012,1,7,6,13.54,99.22,0.62,0.2,252.5
2012,1,7,7,14.18,97.61,2.82,0.28,247.1
2012,1,7,8,14.84,96.28,2.93,0.31,249.2
2012,1,7,9,15.57,93.38,5.93,0.44,256.9
2012,1,7,10,16.42,88.09,15.1,0.53,260.2
2012,1,7,11,17.47,81.48,29.77,0.57,265.0
2012,1,7,12,18.38,76.51,42.78,0.61,269.1
2012,1,7,13,18.84,74.6,45.32,0.63,271.8
2012,1,7,14,18.8,75.99,53.52,0.63,272.7
2012,1,7,15,18.29,80.45,43.38,0.58,273.9
2012,1,7,16,17.5,87.25,35.56,0.47,274.9
2012,1,7,17,16.68,95.64,25.83,0.27,272.1
2012,1,7,18,16.11,97.47,20.71,0.07,146.3
2012,1,7,19,15.75,98.41,18.23,0.17,130.2
2012,1,7,20,15.49,99.19,15.91,0.15,148.4
2012,1,7,21,15.31,99.5,14.01,0.14,162.9
2012,1,7,22,15.15,99.5,12.3,0.14,175.9
2012,1,7,23,14.96,99.43,10.71,0.11,164.7
2012,1,8,0,14.83,99.01,10.2,0.11,142.1
2012,1,8,1,14.76,98.26,7.77,0.13,112.6
2012,1,8,2,14.75,97.17,7.31,0.14,94.1
2012,1,8,3,14.77,96.08,6.17,0.03,135.0
2012,1,8,4,14.62,96.07,4.51,0.18,250.6
2012,1,8,5,14.35,96.75,3.26,0.29,254.1
2012,1,8,6,14.23,96.91,2.46,0.38,246.8
2012,1,8,7,14.6,98.17,3.71,0.33,232.4
2012,1,8,8,15.29,97.42,5.35,0.33,225.0
2012,1,8,9,16.24,93.5,7.69,0.4,230.0
2012,1,8,10,17.49,84.71,11.53,0.42,238.6
2012,1,8,11,18.45,77.98,16.43,0.45,249.1
2012,1,8,12,18.68,76.85,22.54,0.46,257.5
2012,1,8,13,18.37,79.05,27.5,0.45,262.4
2012,1,8,14,17.85,83.2,28.85,0.41,265.8
2012,1,8,15,17.27,88.35,31.64,0.33,271.7
2012,1,8,16,16.74,93.8,23.8,0.21,280.8
2012,1,8,17,16.38,97.28,23.67,0.11,311.2
2012,1,8,18,15.79,99.36,20.15,0.07,326.3
2012,1,8,19,15.36,100.0,19.29,0.08,320.2
2012,1,8,20,15.05,100.0,17.74,0.07,315.0
2012,1,8,21,14.95,99.85,16.79,0.07,333.4
2012,1,8,22,14.75,99.71,13.63,0.05,323.1
2012,1,8,23,14.4,99.45,9.71,0.01,45.0
2012,1,9,0,14.02,99.12,7.54,0.12,110.0
2012,1,9,1,13.76,98.58,6.69,0.24,104.6
2012,1,9,2,13.52,98.47,5.99,0.3,105.4
2012,1,9,3,13.27,98.78,5.72,0.31,109.0
2012,1,9,4,13.14,98.74,4.52,0.32,115.8
2012,1,9,5,13.03,98.51,3.25,0.33,127.6
2012,1,9,6,13.01,98.63,2.27,0.28,140.7
2012,1,9,7,14.19,98.6,2.29,0.14,167.9
2012,1,9,8,15.49,96.13,3.94,0.16,194.9
2012,1,9,9,16.95,87.25,8.29,0.21,205.4
2012,1,9,10,18.85,74.63,13.8,0.28,230.7
2012,1,9,11,19.91,69.17,18.35,0.38,244.8
2012,1,9,12,20.44,66.92,19.98,0.44,254.1
2012,1,9,13,20.54,67.04,20.49,0.44,256.9
2012,1,9,14,20.02,70.35,16.01,0.39,258.1
2012,1,9,15,19.17,77.07,17.82,0.31,260.8
2012,1,9,16,18.28,86.19,12.96,0.21,267.3
2012,1,9,17,17.23,93.34,11.0,0.08,246.8
2012,1,9,18,16.18,97.7,9.85,0.04,116.6
2012,1,9,19,15.55,98.5,10.84,0.1,126.9
2012,1,9,20,15.21,98.07,11.24,0.19,128.7
2012,1,9,21,14.98,97.21,11.27,0.25,135.0
2012,1,9,22,14.65,97.05,11.84,0.3,135.0
2012,1,9,23,14.26,97.04,11.84,0.34,132.6
2012,1,10,0,13.92,96.93,11.2,0.38,128.7
2012,1,10,1,13.64,96.78,11.15,0.43,128.5
2012,1,10,2,13.45,96.56,11.02,0.45,126.9
2012,1,10,3,13.22,96.7,9.37,0.45,128.7
2012,1,10,4,13.02,96.67,6.28,0.46,132.4
2012,1,10,5,12.82,96.38,3.91,0.49,139.1
2012,1,10,6,12.79,96.22,2.5,0.48,146.0
2012,1,10,7,13.86,97.54,4.34,0.14,162.9
2012,1,10,8,15.4,92.65,5.55,0.12,250.0
2012,1,10,9,17.61,78.31,7.56,0.24,262.9
2012,1,10,10,19.97,64.91,11.85,0.34,263.3
2012,1,10,11,21.3,59.89,15.73,0.41,263.0
2012,1,10,12,21.9,58.52,21.02,0.48,264.1
2012,1,10,13,21.66,59.94,23.11,0.52,267.8
2012,1,10,14,20.99,63.55,28.31,0.55,270.0
2012,1,10,15,20.18,68.75,25.58,0.53,272.2
2012,1,10,16,18.98,78.35,24.33,0.48,275.9
2012,1,10,17,17.72,92.21,20.48,0.4,278.5
2012,1,10,18,16.86,91.75,19.34,0.43,283.4
2012,1,10,19,16.23,95.72,18.04,0.47,292.7
2012,1,10,20,15.67,98.28,17.38,0.38,293.2
2012,1,10,21,15.3,99.3,16.42,0.3,287.2
2012,1,10,22,15.11,99.54,14.01,0.29,282.1
2012,1,10,23,14.89,99.66,9.84,0.26,274.4
2012,1,11,0,14.62,99.75,5.97,0.24,272.4
2012,1,11,1,14.39,99.63,4.43,0.24,267.6
2012,1,11,2,14.23,99.45,3.83,0.23,265.0
2012,1,11,3,14.08,99.17,4.11,0.23,270.0
2012,1,11,4,13.86,99.28,3.39,0.18,276.3
2012,1,11,5,13.7,98.77,2.78,0.24,272.4
2012,1,11,6,14.09,96.2,2.01,0.26,252.3
2012,1,11,7,14.75,97.55,0.43,0.15,151.7
2012,1,11,8,15.67,95.73,0.53,0.21,163.3
2012,1,11,9,16.49,91.2,1.08,0.23,182.5
2012,1,11,10,17.5,83.14,2.36,0.24,213.0
2012,1,11,11,18.74,74.57,3.67,0.26,229.6
2012,1,11,12,19.74,69.02,4.76,0.28,242.5
2012,1,11,13,20.25,66.32,4.58,0.33,252.1
2012,1,11,14,20.08,67.7,4.59,0.35,255.2
2012,1,11,15,19.53,71.85,3.45,0.32,253.8
2012,1,11,16,18.66,79.45,2.82,0.28,257.5
2012,1,11,17,17.46,91.5,2.32,0.16,248.2
2012,1,11,18,16.32,96.67,2.33,0.18,180.0
2012,1,11,19,15.62,97.73,2.61,0.23,170.1
2012,1,11,20,15.13,99.25,2.9,0.19,180.0
2012,1,11,21,14.89,99.74,3.05,0.16,190.6
2012,1,11,22,14.68,99.91,3.5,0.16,180.0
2012,1,11,23,14.51,99.93,3.74,0.16,166.0
2012,1,12,0,14.33,100.0,3.62,0.14,159.0
2012,1,12,1,14.24,99.61,3.37,0.16,150.3
2012,1,12,2,14.13,99.18,2.74,0.2,139.1
2012,1,12,3,13.94,98.99,2.06,0.2,135.0
2012,1,12,4,13.72,98.94,1.45,0.17,135.0
2012,1,12,5,13.44,99.22,1.36,0.16,135.0
2012,1,12,6,13.39,99.07,1.46,0.21,142.6
2012,1,12,7,14.48,97.07,0.06,0.28,160.9
2012,1,12,8,15.96,91.15,0.05,0.35,188.1
2012,1,12,9,17.8,78.49,0.05,0.42,205.3
2012,1,12,10,19.21,69.64,0.08,0.46,211.6
2012,1,12,11,19.89,66.45,0.09,0.4,209.7
2012,1,12,12,20.2,65.34,0.1,0.32,208.2
2012,1,12,13,20.2,65.58,0.09,0.27,206.6
2012,1,12,14,20.04,66.39,0.09,0.23,197.7
2012,1,12,15,19.6,68.48,0.08,0.2,191.3
2012,1,12,16,18.79,74.29,0.07,0.17,205.0
2012,1,12,17,17.41,85.7,0.05,0.1,191.3
2012,1,12,18,15.81,93.99,0.03,0.14,123.7
2012,1,12,19,14.89,96.12,0.02,0.22,116.6
2012,1,12,20,14.27,97.66,0.03,0.29,114.8
2012,1,12,21,13.78,99.27,0.03,0.28,111.0
2012,1,12,22,13.48,100.0,0.05,0.26,112.6
2012,1,12,23,13.42,99.41,0.07,0.29,116.6
2012,1,13,0,13.42,98.36,0.08,0.34,114.3
2012,1,13,1,13.37,97.87,0.09,0.34,107.3
2012,1,13,2,13.26,97.95,0.12,0.3,101.7
2012,1,13,3,13.18,98.04,0.15,0.26,98.7
2012,1,13,4,13.09,98.07,0.15,0.23,97.4
2012,1,13,5,13.07,97.84,0.15,0.21,100.8
2012,1,13,6,13.1,97.24,0.17,0.23,107.7
2012,1,13,7,14.07,93.49,1.52,0.28,111.0
2012,1,13,8,15.63,85.88,1.59,0.29,128.0
2012,1,13,9,17.17,76.14,2.27,0.31,155.1
2012,1,13,10,18.22,69.83,2.69,0.32,167.3
2012,1,13,11,18.96,66.52,3.18,0.32,165.5
2012,1,13,12,19.42,64.7,2.96,0.3,166.4
2012,1,13,13,19.54,64.37,2.88,0.25,170.9
2012,1,13,14,19.33,65.77,2.68,0.22,180.0
2012,1,13,15,18.69,70.69,2.48,0.18,196.4
2012,1,13,16,17.87,79.07,2.52,0.14,210.3
2012,1,13,17,16.81,88.64,2.55,0.1,196.7
2012,1,13,18,15.87,93.43,2.53,0.14,146.3
2012,1,13,19,15.37,95.41,2.46,0.16,132.5
2012,1,13,20,15.03,96.55,2.25,0.17,122.7
2012,1,13,21,14.66,97.57,1.91,0.16,124.7
2012,1,13,22,14.19,98.51,1.76,0.18,130.6
2012,1,13,23,13.78,98.84,1.71,0.21,131.2
2012,1,14,0,13.42,99.01,1.64,0.23,131.4
2012,1,14,1,13.17,98.84,1.6,0.25,130.1
2012,1,14,2,12.91,98.47,2.04,0.29,126.5
2012,1,14,3,12.62,98.12,2.42,0.32,128.7
2012,1,14,4,12.35,97.62,3.02,0.35,135.0
2012,1,14,5,12.18,96.83,3.57,0.39,140.2
2012,1,14,6,12.37,96.32,4.03,0.39,142.3
2012,1,14,7,14.09,94.58,10.75,0.35,140.8
2012,1,14,8,16.14,89.29,11.08,0.34,161.0
2012,1,14,9,18.4,76.15,11.05,0.37,176.9
2012,1,14,10,20.03,67.11,13.61,0.36,189.5
2012,1,14,11,20.84,63.95,13.81,0.38,205.2
2012,1,14,12,21.11,62.95,13.14,0.4,220.9
2012,1,14,13,20.92,63.93,12.77,0.44,232.3
2012,1,14,14,20.02,69.6,12.3,0.45,239.5
2012,1,14,15,19.08,77.62,10.73,0.4,244.7
2012,1,14,16,18.16,86.32,9.22,0.3,246.0
2012,1,14,17,17.26,94.22,7.37,0.14,234.0
2012,1,14,18,16.4,97.91,6.24,0.11,164.7
2012,1,14,19,15.87,98.78,5.81,0.11,169.7
2012,1,14,20,15.36,99.4,5.14,0.1,196.7
2012,1,14,21,14.94,99.81,4.49,0.12,200.0
2012,1,14,22,14.75,99.72,3.34,0.13,193.0
2012,1,14,23,14.63,99.42,2.07,0.14,180.0
2012,1,15,0,14.52,99.14,1.21,0.14,159.0
2012,1,15,1,14.37,99.01,0.7,0.11,153.4
2012,1,15,2,14.14,99.34,0.58,0.08,180.0
2012,1,15,3,13.88,99.38,0.56,0.09,186.3
2012,1,15,4,13.74,99.14,0.64,0.14,180.0
2012,1,15,5,13.66,99.07,0.88,0.18,180.0
2012,1,15,6,13.68,98.87,1.29,0.21,177.3
2012,1,15,7,14.51,97.75,1.11,0.27,171.6
2012,1,15,8,15.67,93.48,1.56,0.38,181.5
2012,1,15,9,17.4,81.1,2.5,0.44,185.2
2012,1,15,10,19.16,69.77,3.26,0.46,196.5
2012,1,15,11,20.35,63.66,3.84,0.44,213.0
2012,1,15,12,20.97,60.5,4.64,0.44,226.8
2012,1,15,13,21.12,59.88,5.44,0.45,236.7
2012,1,15,14,20.81,60.98,4.63,0.46,244.0
2012,1,15,15,19.89,65.88,5.62,0.42,245.9
2012,1,15,16,18.72,74.98,5.01,0.3,246.8
2012,1,15,17,17.54,87.89,3.59,0.16,235.3
2012,1,15,18,16.5,94.95,3.19,0.08,140.2
2012,1,15,19,15.81,96.59,3.08,0.1,101.3
2012,1,15,20,15.23,97.58,2.68,0.13,90.0
2012,1,15,21,14.71,98.1,2.46,0.17,93.4
2012,1,15,22,14.15,98.31,1.76,0.24,99.5
2012,1,15,23,13.56,98.81,1.05,0.36,101.3
2012,1,16,0,12.98,99.26,0.59,0.45,106.8
2012,1,16,1,12.65,98.93,0.33,0.54,108.4
2012,1,16,2,12.79,97.14,0.26,0.5,102.7
2012,1,16,3,12.93,96.01,0.16,0.24,94.8
2012,1,16,4,12.79,96.24,0.11,0.11,195.3
2012,1,16,5,12.56,96.7,0.08,0.33,180.0
2012,1,16,6,12.28,97.15,0.06,0.48,161.9
2012,1,16,7,13.34,96.6,0.14,0.22,161.6
2012,1,16,8,15.08,90.96,0.17,0.14,210.3
2012,1,16,9,17.28,76.32,0.42,0.21,221.2
2012,1,16,10,19.29,65.68,1.18,0.27,228.0
2012,1,16,11,20.37,61.59,2.4,0.33,241.1
2012,1,16,12,20.77,60.78,3.7,0.38,250.1
2012,1,16,13,20.56,62.68,5.02,0.4,257.0
2012,1,16,14,19.67,68.03,7.53,0.36,260.5
2012,1,16,15,18.52,75.93,8.1,0.28,259.9
2012,1,16,16,17.41,85.44,9.44,0.23,257.2
2012,1,16,17,16.5,94.0,8.84,0.12,245.6
2012,1,16,18,15.89,97.79,8.17,0.08,180.0
2012,1,16,19,15.55,98.67,7.4,0.12,180.0
2012,1,16,20,15.19,99.09,7.1,0.15,187.6
2012,1,16,21,14.85,99.32,6.37,0.19,201.3
2012,1,16,22,14.59,99.29,4.68,0.25,206.6
2012,1,16,23,14.34,99.21,3.38,0.24,207.6
2012,1,17,0,14.02,99.34,2.69,0.18,209.4
2012,1,17,1,13.7,99.18,2.22,0.19,198.4
2012,1,17,2,13.48,98.79,2.19,0.24,175.2
2012,1,17,3,13.19,99.03,2.66,0.25,168.7
2012,1,17,4,12.88,99.3,2.26,0.26,164.4
2012,1,17,5,12.55,99.45,2.09,0.26,155.4
2012,1,17,6,12.55,99.19,1.91,0.27,151.6
2012,1,17,7,13.69,98.47,3.23,0.27,158.2
2012,1,17,8,14.94,96.32,4.54,0.3,176.2
2012,1,17,9,16.52,88.37,7.12,0.39,198.0
2012,1,17,10,17.98,78.24,9.47,0.46,218.9
2012,1,17,11,18.34,75.78,10.87,0.51,233.8
2012,1,17,12,18.08,77.78,13.11,0.55,240.6
2012,1,17,13,17.58,81.85,15.04,0.61,247.7
2012,1,17,14,17.06,86.43,15.39,0.63,254.4
2012,1,17,15,16.71,90.3,16.89,0.6,262.3
2012,1,17,16,16.3,94.64,19.86,0.52,270.0
2012,1,17,17,15.85,97.59,16.61,0.39,275.9
2012,1,17,18,15.31,98.62,13.14,0.32,286.2
2012,1,17,19,14.87,98.7,12.46,0.26,300.6
2012,1,17,20,14.52,98.63,12.87,0.17,315.0
2012,1,17,21,14.15,98.36,12.14,0.1,336.1
2012,1,17,22,13.77,98.12,12.42,0.07,16.0
2012,1,17,23,13.49,97.61,12.85,0.1,5.7
2012,1,18,0,13.26,96.69,13.29,0.16,352.9
2012,1,18,1,13.03,96.23,13.81,0.15,0.0
2012,1,18,2,12.82,95.75,13.33,0.04,333.4
2012,1,18,3,12.5,94.27,12.62,0.17,215.5
2012,1,18,4,12.18,94.38,11.84,0.12,180.0
2012,1,18,5,11.95,94.69,10.84,0.15,86.2
2012,1,18,6,11.75,95.56,9.61,0.29,90.0
2012,1,18,7,12.36,95.87,8.36,0.33,102.3
2012,1,18,8,13.42,92.23,7.72,0.19,143.8
2012,1,18,9,15.51,82.4,7.32,0.27,228.0
2012,1,18,10,18.19,69.18,7.95,0.46,256.3
2012,1,18,11,19.76,63.1,8.98,0.6,267.1
2012,1,18,12,19.53,65.53,10.97,0.67,271.7
2012,1,18,13,19.02,69.22,12.85,0.68,274.2
2012,1,18,14,18.33,73.75,12.81,0.67,278.6
2012,1,18,15,17.54,79.92,15.15,0.62,283.1
2012,1,18,16,16.64,87.78,14.57,0.51,285.9
2012,1,18,17,15.9,95.17,12.96,0.34,290.6
2012,1,18,18,15.48,98.11,10.94,0.3,313.7
2012,1,18,19,15.18,99.0,10.13,0.3,320.4
2012,1,18,20,14.99,99.38,9.91,0.28,320.7
2012,1,18,21,14.96,98.64,10.16,0.23,309.8
2012,1,18,22,14.85,98.22,10.68,0.28,244.4
2012,1,18,23,14.5,98.98,11.83,0.37,227.2
2012,1,19,0,14.21,99.39,13.3,0.33,228.7
2012,1,19,1,13.9,99.3,14.26,0.33,226.2
2012,1,19,2,13.61,98.94,15.35,0.34,214.2
2012,1,19,3,13.45,98.46,16.29,0.29,197.8
2012,1,19,4,13.23,98.44,17.06,0.23,177.5
2012,1,19,5,12.95,98.73,15.97,0.23,172.6
2012,1,19,6,12.89,99.12,13.79,0.22,174.8
2012,1,19,7,13.51,98.74,23.02,0.31,199.0
2012,1,19,8,14.19,98.01,17.09,0.34,209.5
2012,1,19,9,14.84,95.91,14.45,0.36,217.2
2012,1,19,10,15.38,91.33,12.65,0.36,218.2
2012,1,19,11,15.93,85.84,11.64,0.35,228.5
2012,1,19,12,16.34,83.13,12.57,0.36,242.0
2012,1,19,13,16.45,83.59,16.35,0.39,252.0
2012,1,19,14,16.31,86.23,14.8,0.39,256.7
2012,1,19,15,16.03,90.22,16.8,0.37,259.0
2012,1,19,16,15.68,94.43,18.15,0.29,256.0
2012,1,19,17,15.21,98.16,19.31,0.16,243.4
2012,1,19,18,14.58,99.52,22.53,0.13,184.4
2012,1,19,19,14.25,99.81,23.57,0.17,176.6
2012,1,19,20,14.01,99.92,23.53,0.19,186.0
2012,1,19,21,13.77,99.98,23.95,0.2,194.7
2012,1,19,22,13.53,99.85,25.31,0.2,204.0
2012,1,19,23,13.3,99.22,27.62,0.27,190.5
